skill_name
Python
SQL
Airflow
dbt
BigQuery
Snowflake
AWS
GCP
Azure
Spark
Kafka
Docker
Kubernetes
Tableau
Power BI
Looker
Excel
ETL
Machine Learning
Data Modeling
